,Season,Team,Games,Won,Drawn,Lost,Points,GoalsScored,GoalsConceded,GoalsDifference,A,2A,VE,SeasonOrder
388,9596,U. Leiria,34,14,5,15,47,38,50,-12,96,6,3,2
389,9596,SC Braga,34,12,9,13,45,44,47,-3,100,4,4,2
390,9596,Marítimo,34,12,7,15,43,39,53,-14,69,3,2,2
391,9596,Farense,34,10,6,18,36,36,45,-9,86,6,3,2
392,9596,Salgueiros,34,7,15,12,36,39,49,-10,80,5,1,2
393,9596,Gil Vicente,34,9,9,16,36,31,49,-18,101,6,1,2
394,9596,E. Amadora,34,7,14,13,35,35,50,-15,99,5,0,2
395,9596,Desp. Chaves,34,9,7,18,34,38,56,-18,90,3,2,2
396,9596,Leça,34,9,7,18,34,29,55,-26,116,12,8,2
397,9596,Felgueiras,34,8,9,17,33,29,47,-18,87,4,2,2
398,9596,Campomaiorense,34,10,3,21,33,32,69,-37,104,11,2,2
399,9596,Tirsense,34,7,10,17,31,30,53,-23,100,2,2,2
400,9495,FC Porto,34,29,4,1,91,72,15,57,77,3,4,1
401,9495,Sporting CP,34,22,9,3,75,57,22,35,74,1,2,1
402,9495,SL Benfica,34,22,5,7,71,61,28,33,96,5,4,1
403,9495,V. Guimarães,34,16,10,8,58,54,43,11,85,8,3,1
404,9495,Farense,34,16,5,13,53,44,38,6,92,6,0,1
405,9495,U. Leiria,34,13,10,11,49,41,44,-3,100,4,5,1
406,9495,Tirsense,34,14,6,14,48,35,34,1,87,6,3,1
407,9495,Marítimo,34,12,11,11,47,41,45,-4,63,4,1,1
408,9495,Boavista,34,12,8,14,44,40,49,-9,93,6,3,1
409,9495,SC Braga,34,11,10,13,43,34,42,-8,67,1,4,1
410,9495,Salgueiros,34,11,7,16,40,43,50,-7,90,11,1,1
411,9495,Belenenses,34,10,7,17,37,30,39,-9,92,6,1,1
412,9495,Desp. Chaves,34,10,7,17,37,33,49,-16,91,5,2,1
413,9495,Gil Vicente,34,7,13,14,34,30,40,-10,80,2,3,1
414,9495,E. Amadora,34,6,14,14,32,27,40,-13,84,4,1,1
415,9495,U. Madeira,34,7,10,17,31,30,54,-24,108,6,5,1
416,9495,Beira-Mar,34,8,5,21,29,33,54,-21,95,7,3,1
417,9495,V. Setúbal,34,3,13,18,22,25,44,-19,77,4,3,1
