,Season,SeasonOrder,Team,Round,TotalPoints,Position
143,2021,27,Farense,8,5,18
144,2021,27,Sporting CP,9,23,1
145,2021,27,SL Benfica,9,21,2
146,2021,27,FC Porto,9,19,3
147,2021,27,SC Braga,9,18,4
148,2021,27,V. Guimarães,9,16,5
149,2021,27,Paços Ferreira,9,14,6
150,2021,27,Santa Clara,9,13,7
151,2021,27,Rio Ave,9,11,8
152,2021,27,Belenenses,9,11,9
153,2021,27,Nacional,9,10,10
154,2021,27,Famalicão,9,10,11
155,2021,27,Gil Vicente,9,9,12
156,2021,27,Moreirense,9,9,13
157,2021,27,Tondela,9,8,14
158,2021,27,Boavista,9,8,15
159,2021,27,Farense,9,8,16
160,2021,27,Portimonense,9,7,17
161,2021,27,Marítimo,9,7,18
162,2021,27,Sporting CP,10,26,1
163,2021,27,SL Benfica,10,24,2
164,2021,27,FC Porto,10,22,3
165,2021,27,SC Braga,10,21,4
166,2021,27,V. Guimarães,10,19,5
167,2021,27,Paços Ferreira,10,15,6
168,2021,27,Santa Clara,10,13,7
169,2021,27,Rio Ave,10,11,8
170,2021,27,Belenenses,10,11,9
171,2021,27,Famalicão,10,11,10
172,2021,27,Nacional,10,10,11
173,2021,27,Marítimo,10,10,12
174,2021,27,Moreirense,10,10,13
175,2021,27,Boavista,10,9,14
176,2021,27,Gil Vicente,10,9,15
177,2021,27,Tondela,10,9,16
178,2021,27,Farense,10,8,17
179,2021,27,Portimonense,10,8,18
180,2021,27,Sporting CP,11,29,1
181,2021,27,SL Benfica,11,27,2
182,2021,27,FC Porto,11,25,3
183,2021,27,SC Braga,11,24,4
184,2021,27,V. Guimarães,11,19,5
185,2021,27,Paços Ferreira,11,16,6
186,2021,27,Santa Clara,11,13,7
187,2021,27,Moreirense,11,13,8
188,2021,27,Marítimo,11,13,9
189,2021,27,Nacional,11,13,10
190,2021,27,Gil Vicente,11,12,11
191,2021,27,Rio Ave,11,11,12
192,2021,27,Belenenses,11,11,13
193,2021,27,Famalicão,11,11,14
194,2021,27,Boavista,11,9,15
195,2021,27,Farense,11,9,16
196,2021,27,Tondela,11,9,17
197,2021,27,Portimonense,11,8,18
198,2021,27,Sporting CP,12,32,1
199,2021,27,FC Porto,12,28,2
200,2021,27,SL Benfica,12,28,3
201,2021,27,SC Braga,12,24,4
202,2021,27,V. Guimarães,12,22,5
203,2021,27,Paços Ferreira,12,19,6
204,2021,27,Marítimo,12,14,7
205,2021,27,Santa Clara,12,14,8
206,2021,27,Gil Vicente,12,13,9
207,2021,27,Moreirense,12,13,10
208,2021,27,Nacional,12,13,11
209,2021,27,Belenenses,12,12,12
210,2021,27,Tondela,12,12,13
211,2021,27,Famalicão,12,11,14
212,2021,27,Portimonense,12,11,15
213,2021,27,Rio Ave,12,11,16
214,2021,27,Boavista,12,10,17
215,2021,27,Farense,12,9,18
216,2021,27,Sporting CP,13,35,1
217,2021,27,FC Porto,13,31,2
218,2021,27,SL Benfica,13,31,3
219,2021,27,SC Braga,13,27,4
220,2021,27,V. Guimarães,13,23,5
221,2021,27,Paços Ferreira,13,22,6
222,2021,27,Santa Clara,13,15,7
223,2021,27,Rio Ave,13,14,8
224,2021,27,Marítimo,13,14,9
225,2021,27,Moreirense,13,14,10
226,2021,27,Nacional,13,13,11
227,2021,27,Gil Vicente,13,13,12
228,2021,27,Tondela,13,12,13
229,2021,27,Farense,13,12,14
230,2021,27,Belenenses,13,12,15
231,2021,27,Portimonense,13,11,16
232,2021,27,Famalicão,13,11,17
233,2021,27,Boavista,13,11,18
234,2021,27,Sporting CP,14,36,1
235,2021,27,FC Porto,14,32,2
236,2021,27,SL Benfica,14,32,3
237,2021,27,SC Braga,14,27,4
238,2021,27,Paços Ferreira,14,25,5
239,2021,27,V. Guimarães,14,24,6
240,2021,27,Marítimo,14,17,7
241,2021,27,Moreirense,14,17,8
242,2021,27,Rio Ave,14,15,9
243,2021,27,Santa Clara,14,15,10
244,2021,27,Tondela,14,15,11
245,2021,27,Famalicão,14,14,12
246,2021,27,Portimonense,14,14,13
247,2021,27,Nacional,14,13,14
248,2021,27,Gil Vicente,14,13,15
249,2021,27,Farense,14,13,16
250,2021,27,Belenenses,14,12,17
251,2021,27,Boavista,14,11,18
252,2021,27,Sporting CP,15,39,1
253,2021,27,FC Porto,15,35,2
254,2021,27,SL Benfica,15,33,3
255,2021,27,SC Braga,15,30,4
256,2021,27,Paços Ferreira,15,28,5
257,2021,27,V. Guimarães,15,27,6
258,2021,27,Santa Clara,15,18,7
259,2021,27,Moreirense,15,18,8
260,2021,27,Marítimo,15,17,9
261,2021,27,Tondela,15,15,10
262,2021,27,Rio Ave,15,15,11
263,2021,27,Belenenses,15,15,12
264,2021,27,Portimonense,15,15,13
265,2021,27,Famalicão,15,14,14
266,2021,27,Nacional,15,14,15
267,2021,27,Farense,15,13,16
268,2021,27,Gil Vicente,15,13,17
269,2021,27,Boavista,15,11,18
270,2021,27,Sporting CP,16,42,1
271,2021,27,FC Porto,16,38,2
272,2021,27,SL Benfica,16,33,3
273,2021,27,SC Braga,16,33,4
274,2021,27,Paços Ferreira,16,31,5
275,2021,27,V. Guimarães,16,30,6
276,2021,27,Santa Clara,16,21,7
277,2021,27,Tondela,16,18,8
278,2021,27,Moreirense,16,18,9
279,2021,27,Nacional,16,17,10
280,2021,27,Marítimo,16,17,11
281,2021,27,Rio Ave,16,15,12
282,2021,27,Portimonense,16,15,13
283,2021,27,Belenenses,16,15,14
284,2021,27,Famalicão,16,14,15
285,2021,27,Boavista,16,14,16
286,2021,27,Farense,16,13,17
287,2021,27,Gil Vicente,16,13,18
288,2021,27,Sporting CP,17,45,1
289,2021,27,FC Porto,17,39,2
290,2021,27,SC Braga,17,36,3
291,2021,27,Paços Ferreira,17,34,4
292,2021,27,SL Benfica,17,34,5
293,2021,27,V. Guimarães,17,31,6
294,2021,27,Santa Clara,17,22,7
