,Season,Player,Team,J,A,2A,VE,SeasonOrder
286,9899,Jorge Costa,FC Porto,33,14,0,0,5.0
287,9899,Caetano,Beira-Mar,30,13,0,0,5.0
288,9899,Beto,Sporting CP,28,13,1,0,5.0
289,9899,Rui Óscar,Marítimo,29,13,2,0,5.0
290,9899,Nail Besirovic,Farense,32,13,1,0,5.0
291,9899,João Manuel,U. Leiria,23,12,1,0,5.0
292,9899,Fusco,Beira-Mar,31,12,1,1,5.0
293,9899,Bilro,U. Leiria,31,12,1,0,5.0
294,9899,Hélio,V. Setúbal,33,12,1,1,5.0
295,9899,Litos,Boavista,32,12,2,0,5.0
296,9899,Fernando Mendes,FC Porto,19,11,0,0,5.0
297,9899,Luís Manuel,Boavista,22,11,2,0,5.0
298,9899,Chico Fonseca,Salgueiros,29,11,0,1,5.0
299,9899,Gouveia,Farense,30,11,0,0,5.0
300,9900,Torrão,Campomaiorense,31,17,3,0,6.0
301,9900,Paulo Sousa,Boavista,16,15,2,0,6.0
302,9900,Diogo,Alverca,25,15,2,0,6.0
303,9900,Predrag Jokanovic,Marítimo,27,14,0,0,6.0
304,9900,Peu,Rio Ave,27,14,1,1,6.0
305,9900,Cao,Campomaiorense,28,13,1,1,6.0
306,9900,Petit,Gil Vicente,30,13,0,0,6.0
307,9900,Pedro Lavoura,SC Braga,31,13,0,0,6.0
308,9900,Beke,Campomaiorense,29,13,2,1,6.0
309,9900,Albertino,Marítimo,32,13,1,0,6.0
310,9900,Kenedy,E. Amadora,25,12,0,0,6.0
311,9900,Poejo,Campomaiorense,28,12,1,0,6.0
312,9900,Hugo Costa,Alverca,25,12,2,0,6.0
313,9900,Barroso,SC Braga,30,12,0,0,6.0
314,9900,Jorge Costa,FC Porto,31,12,0,0,6.0
315,9900,Pedro Emanuel,Boavista,32,12,1,0,6.0
316,9900,Luís Manuel,Boavista,20,11,1,0,6.0
317,9900,Maniche,SL Benfica,28,11,1,0,6.0
318,9900,Lázaro,E. Amadora,29,11,2,1,6.0
319,9900,Litos,Boavista,30,11,0,0,6.0
320,0001,Cléber Lima,Belenenses,28,21,2,0,7.0
321,0001,Fernando Aguiar,Beira-Mar,30,17,2,1,7.0
322,0001,Guga,Belenenses,30,14,0,1,7.0
323,0001,Rafael,Paços Ferreira,31,14,1,0,7.0
324,0001,Deco,FC Porto,31,13,1,0,7.0
325,0001,Glauber,Paços Ferreira,30,13,2,0,7.0
326,0001,Petit,Boavista,26,12,1,1,7.0
327,0001,Lino,Marítimo,29,12,2,0,7.0
328,0001,Zé António,Alverca,29,12,0,0,7.0
329,0001,Bilro,U. Leiria,30,12,1,0,7.0
330,0001,Litos,Boavista,33,12,0,0,7.0
331,0001,José Vieira,Desp. Aves,19,11,1,0,7.0
332,0001,Predrag Jokanović,Marítimo,23,11,0,0,7.0
333,0001,Pedro Simões,E. Amadora,24,11,1,0,7.0
334,0001,Neves,Salgueiros,26,11,0,0,7.0
335,0001,Petar Krpan,U. Leiria,27,11,0,0,7.0
336,0001,Patacas,Campomaiorense,26,11,1,0,7.0
337,0001,João Manuel,U. Leiria,29,11,1,1,7.0
338,0001,Miguel Vaz,Campomaiorense,29,11,1,0,7.0
339,0001,Kenedy,E. Amadora,27,11,1,0,7.0
340,0102,Deco,FC Porto,30,17,2,0,8.0
341,0102,Adalberto,Paços Ferreira,31,14,0,1,8.0
342,0102,Cléber Lima,V. Guimarães,32,14,1,0,8.0
343,0102,Torrão,Alverca,30,13,0,1,8.0
344,0102,Sérgio Nunes,Santa Clara,29,13,1,0,8.0
345,0102,Costinha,FC Porto,29,12,1,0,8.0
346,0102,Barroso,SC Braga,26,12,0,0,8.0
347,0102,Luís Manuel,Beira-Mar,27,12,2,0,8.0
348,0102,Tinaia,Alverca,29,12,1,0,8.0
349,0102,João Manuel,U. Leiria,30,12,2,0,8.0
350,0102,Luís Loureiro,Gil Vicente,27,11,1,0,8.0
351,0102,Mário Jardel,Sporting CP,30,11,1,0,8.0
352,0102,Bilro,U. Leiria,32,11,0,1,8.0
353,0102,Briguel,Marítimo,23,10,1,0,8.0
354,0102,Nuno Frechaut,Boavista,25,10,0,0,8.0
355,0102,Ricardo Rocha,SC Braga,25,10,1,1,8.0
356,0102,Petit,Boavista,25,10,0,0,8.0
357,0102,Pedro Emanuel,Boavista,28,10,1,0,8.0
358,0102,Pedro Henriques,Belenenses,28,10,0,0,8.0
359,0102,Silas,U. Leiria,32,10,0,0,8.0
360,0203,Cléber Lima,V. Guimarães,31,17,1,2,
361,0203,Pepe,Marítimo,29,16,1,1,
362,0203,Deco,FC Porto,30,16,0,1,
363,0203,Nuno Amaro,Gil Vicente,29,14,2,1,
364,0203,Paulo Sousa,Paços Ferreira,30,13,2,1,
365,0203,Ricardo Silva,V. Guimarães,28,13,0,1,
366,0203,Pedro Santos,Boavista,19,12,3,0,
367,0203,Petit,SL Benfica,25,12,1,1,
368,0203,Filgueira,Belenenses,24,12,1,0,
369,0203,Fernando Aguiar,U. Leiria,28,12,0,1,
370,0203,Jorge Costa,FC Porto,26,12,1,0,
371,0203,Aldo,Santa Clara,27,12,0,0,
372,0203,Hugo Alcântara,V. Setúbal,28,12,1,0,
373,0203,Flávio Meireles,Moreirense,32,12,0,1,
374,0203,André Macanga,Académica,32,12,0,0,
375,0203,Arrieta,SC Braga,31,11,0,0,
376,0203,Sérgio Lomba,Moreirense,23,11,0,0,
377,0203,Castanheira,SC Braga,29,11,1,0,
378,0203,Luís Vouzela,Santa Clara,29,11,0,0,
379,0203,Luís Loureiro,Gil Vicente,30,11,1,0,
380,0304,Ferreira,Gil Vicente,30,15,1,0,
381,0304,Jaime Júnior,Rio Ave,28,14,0,2,
382,0304,Torrão,Alverca,30,14,0,1,
383,0304,Maniche,FC Porto,31,13,0,0,
384,0304,Rui Jorge,Sporting CP,29,13,2,0,
385,0304,Ávalos,Nacional,31,13,1,0,
386,0304,Luís Loureiro,Gil Vicente,28,12,1,0,
387,0304,Flávio Meireles,V. Guimarães,26,12,1,0,
388,0304,Mozer,Rio Ave,29,12,0,1,
389,0304,Ricardo Sousa,Boavista,32,12,0,0,
390,0304,Sérgio Lomba,Moreirense,30,12,0,0,
391,0304,Jorge Costa,FC Porto,19,11,0,0,
392,0304,Edson Canhão,U. Leiria,28,11,3,0,
393,0304,Deco,FC Porto,28,11,1,0,
394,0304,Pepe,Marítimo,30,11,0,2,
395,0304,Tonel,Académica,32,11,0,0,
396,0304,Petit,SL Benfica,23,10,0,0,
397,0304,Pedro Barbosa,Sporting CP,27,10,1,0,
398,0304,Ricardo Rocha,SL Benfica,25,10,1,1,
399,0304,Gaspar,Gil Vicente,28,10,1,1,
400,0405,Paulo Sousa,Estoril,21,16,1,1,11.0
401,0405,Hélder Rosário,Boavista,24,13,1,0,11.0
402,0405,Cléber Lima,V. Guimarães,27,13,2,0,11.0
403,0405,Cadú,Boavista,30,13,0,0,11.0
404,0405,Sérgio Lomba,Moreirense,30,13,2,0,11.0
405,0405,João Pedro,Estoril,31,13,1,0,11.0
406,0405,Damian Tixier,Académica,26,12,2,0,11.0
407,0405,Jorge Costa,FC Porto,22,12,1,0,11.0
408,0405,Alhandra,U. Leiria,28,12,1,0,11.0
409,0405,Ávalos,Nacional,32,12,0,0,11.0
410,0405,Grégory Arnolin,Gil Vicente,23,11,1,0,11.0
411,0405,Luís Coentrão,Gil Vicente,29,11,0,1,11.0
412,0405,Fernando Cardozo,Nacional,25,11,1,0,11.0
413,0405,Renato,U. Leiria,30,11,0,1,11.0
414,0405,Miguelito,Rio Ave,30,11,1,0,11.0
415,0405,Beto,Beira-Mar,31,11,1,0,11.0
416,0405,Liedson,Sporting CP,31,11,1,0,11.0
417,0405,Dionattan,Académica,20,10,0,0,11.0
418,0405,Arrieta,Estoril,21,10,1,0,11.0
419,0405,Gaúcho,Rio Ave,29,10,0,0,11.0
420,0506,Gilmar,Naval,29,17,1,0,12.0
421,0506,Cléber Lima,V. Guimarães,27,15,0,2,12.0
422,0506,Cadú,Boavista,28,15,1,0,12.0
423,0506,Paulo Sousa,Paços Ferreira,32,15,0,0,12.0
424,0506,Petit,SL Benfica,30,14,0,0,12.0
425,0506,Sá Pinto,Sporting CP,27,13,1,1,12.0
426,0506,Areias,Boavista,30,13,1,1,12.0
427,0506,Danielson,Rio Ave,30,13,1,1,12.0
428,0506,Manú,E. Amadora,31,13,1,1,12.0
429,0506,Santamaria,E. Amadora,22,12,0,0,12.0
430,0506,Nélson Veiga,Naval,26,12,0,0,12.0
431,0506,China,Naval,30,12,1,0,12.0
432,0506,Weligton,Penafiel,31,12,0,1,12.0
433,0506,Barrionuevo,Penafiel,15,11,1,0,12.0
434,0506,Pedro Silva,Académica,21,11,2,0,12.0
435,0506,Mozer,Rio Ave,26,11,1,1,12.0
436,0506,Modou Sougou,V. Setúbal,27,11,0,0,12.0
437,0506,Filipe Teixeira,Académica,30,11,1,0,12.0
438,0506,Pelé,Belenenses,32,11,0,0,12.0
439,0506,Ricardo Silva,Boavista,17,10,1,0,12.0
440,0607,Mércio Silva,Desp. Aves,27,12,0,0,13.0
441,0607,Amoreirinha,E. Amadora,28,12,0,0,13.0
442,0607,Geraldo Alves,Paços Ferreira,28,12,0,0,13.0
443,0607,Sérgio Carvalho,Desp. Aves,25,11,1,0,13.0
444,0607,Paulo Gomes,U. Leiria,28,11,1,0,13.0
445,0607,Sandro,V. Setúbal,26,10,1,0,13.0
446,0607,Alonso,Nacional,25,10,0,0,13.0
447,0607,Ricardo Silva,Boavista,26,10,0,0,13.0
448,0607,Kalifa Cissé,Boavista,27,10,1,0,13.0
449,0607,Filipe Anunciação,Desp. Aves,27,10,0,0,13.0
450,0607,Paulo Assunção,FC Porto,22,9,0,0,13.0
451,0607,Carlos Fernandes,SC Braga,20,9,0,0,13.0
452,0607,Binho,V. Setúbal,25,9,1,0,13.0
453,0607,Sérgio Nunes,Desp. Aves,28,9,1,0,13.0
