,Season,Player,Team,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE,SeasonOrder
69,9798,Velli Kasumov,V. Setúbal,24,11,2,0,188,10,1,1,3,2,29,4.0
70,9798,Alex Bunbury,Marítimo,30,11,1,0,236,11,0,1,3,0,25,4.0
71,9798,Timofte,Boavista,31,10,2,0,184,10,0,0,0,0,19,4.0
72,9798,Leandro Machado,Sporting CP,27,10,0,0,226,10,0,0,1,0,22,4.0
73,9798,Hassan Nader,Farense,19,9,2,0,173,9,0,1,1,0,22,4.0
74,9798,Oceano,Sporting CP,27,9,3,0,248,8,1,1,2,0,20,4.0
75,9798,Marcos,Rio Ave,30,9,2,1,285,9,0,0,1,0,21,4.0
76,9798,Quinzinho,Rio Ave,24,8,0,0,213,6,2,1,2,0,19,4.0
77,9798,Sérgio Conceição,FC Porto,30,8,0,0,284,7,1,0,0,0,11,4.0
78,9798,Jorginho,Campomaiorense,31,8,0,1,296,8,0,0,1,0,15,4.0
79,9798,Demétrius,Campomaiorense,17,7,0,0,100,5,2,0,1,0,13,4.0
80,9899,Mário Jardel,FC Porto,32,36,2,0,76,36,0,2,4,0,42,5.0
81,9899,Nuno Gomes,SL Benfica,34,24,6,0,97,20,4,1,2,0,34,5.0
82,9899,Demétrius,Campomaiorense,29,16,2,0,132,15,1,0,1,0,39,5.0
83,9899,Silva,SC Braga,32,16,1,0,156,16,0,0,3,0,42,5.0
84,9899,Kwame Ayew,Boavista,27,15,0,0,145,15,0,0,2,0,26,5.0
85,9899,Timofte,Boavista,32,15,4,0,150,15,0,1,4,0,26,5.0
86,9899,Alex Bunbury,Marítimo,30,15,6,0,164,13,2,2,1,1,34,5.0
87,9899,Chiquinho Conde,V. Setúbal,28,14,0,0,168,14,0,0,3,0,38,5.0
88,9899,Zlatko Zahovič,FC Porto,31,14,1,0,183,12,2,1,1,0,16,5.0
89,9899,Ivaylo Iordanov,Sporting CP,29,13,0,0,136,11,2,0,2,0,20,5.0
90,9899,Edmilson,V. Guimarães,25,13,0,0,136,12,1,0,3,1,25,5.0
91,9899,Edmílson,Sporting CP,24,10,1,0,180,10,0,1,1,0,16,5.0
92,9899,Wanderley,Desp. Chaves,27,10,0,0,186,9,1,2,1,1,26,5.0
93,9899,Celso,Salgueiros,29,10,0,0,200,7,3,2,1,0,22,5.0
94,9899,Fary,Beira-Mar,34,10,0,0,219,8,2,0,1,1,28,5.0
95,9899,Simão Sabrosa,Sporting CP,30,10,1,0,255,10,0,0,1,0,16,5.0
96,9899,Gilmar,V. Guimarães,33,10,1,0,267,10,0,1,1,0,19,5.0
97,9899,Jesús Seba,Desp. Chaves,31,10,2,0,267,9,1,0,2,0,26,5.0
98,9899,Dário,Académica,25,9,0,0,204,8,1,2,0,0,30,5.0
99,9899,Simić,Beira-Mar,31,8,0,0,270,7,1,0,1,0,22,5.0
100,9900,Mário Jardel,FC Porto,32,38,7,0,74,38,0,0,4,0,58,6.0
101,9900,Beto Acosta,Sporting CP,33,22,5,0,124,22,0,3,9,2,39,6.0
102,9900,Gaúcho,E. Amadora,31,21,2,0,128,21,0,2,3,0,53,6.0
103,9900,Nuno Gomes,SL Benfica,34,18,0,0,161,18,0,0,5,1,31,6.0
104,9900,Brandão,V. Guimarães,32,16,0,0,143,11,5,1,5,2,33,6.0
105,9900,Mariano Toedtli,Marítimo,31,13,0,0,202,12,1,0,3,0,31,6.0
106,9900,Hugo Henrique,Rio Ave,33,12,0,0,235,12,0,1,0,0,35,6.0
107,9900,Whelliton,Boavista,22,11,0,0,139,8,3,1,2,0,28,6.0
108,9900,Lucian Marinescu,Farense,27,11,0,0,212,11,0,3,2,0,31,6.0
109,9900,Maniche,SL Benfica,28,10,0,0,172,8,2,0,1,0,17,6.0
110,9900,Edmilson,V. Guimarães,31,10,0,0,252,10,0,1,0,0,21,6.0
111,9900,Odair,SC Braga,33,10,1,1,291,10,0,0,2,1,23,6.0
112,9900,Guga,Gil Vicente,25,9,0,0,184,9,0,1,1,0,19,6.0
113,9900,Derlei,U. Leiria,26,8,0,0,195,6,2,2,0,0,26,6.0
114,9900,Clayton,"FC Porto, Santa Clara",30,8,0,0,221,8,0,0,1,0,23,6.0
115,9900,Riva,V. Guimarães,31,8,0,0,229,4,4,0,1,1,17,6.0
116,9900,Seba,Belenenses,33,8,0,0,358,8,0,0,1,0,22,6.0
