,Season,Player,Team,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE,SeasonOrder
308,0910,William,Paços Ferreira,21,10,3,0,176,10,0,1,1,0,31,16.0
309,0910,Ladji Keita,V. Setúbal,25,10,1,0,208,10,0,0,4,2,34,16.0
310,0910,Modou Sougou,Académica,29,9,4,0,248,9,0,0,0,0,24,16.0
311,0910,Kléber,Marítimo,20,8,0,0,156,8,0,0,3,2,19,16.0
312,0910,Silvestre Varela,FC Porto,18,8,1,0,170,7,1,0,1,0,11,16.0
313,0910,Alan,SC Braga,30,8,1,0,337,8,0,1,2,0,17,16.0
314,0910,Ernesto Farías,FC Porto,18,7,0,0,83,3,4,1,1,0,10,16.0
315,0910,Christian Pouga,Leixões,27,7,0,0,266,6,1,0,0,0,28,16.0
316,0910,Lima,Belenenses,27,7,1,0,337,7,0,0,0,0,30,16.0
317,0910,Hugo Morais,Leixões,29,7,6,1,347,7,0,1,3,1,28,16.0
318,0910,Yannick Djaló,Sporting CP,18,6,0,0,208,5,1,0,0,0,14,16.0
319,0910,João Tomás,Rio Ave,15,6,0,0,217,6,0,1,1,0,27,16.0
320,1011,Hulk,FC Porto,26,23,8,0,100,23,0,0,5,0,32,17.0
321,1011,Radamel Falcao,FC Porto,22,16,0,0,113,16,0,1,0,0,22,17.0
322,1011,João Tomás,Rio Ave,29,16,3,0,161,16,0,1,1,0,46,17.0
323,1011,Óscar Cardozo,SL Benfica,22,12,2,0,146,12,0,0,2,0,20,17.0
324,1011,Babá Diawara,Marítimo,29,11,0,0,228,11,0,0,2,0,33,17.0
325,1011,Silvestre Varela,FC Porto,26,10,0,0,176,9,1,0,3,1,14,17.0
326,1011,Edgar Silva,V. Guimarães,30,10,4,0,221,8,2,0,1,0,28,17.0
327,1011,Carlão,U. Leiria,14,9,4,0,119,8,1,0,2,1,36,17.0
328,1011,Leandro Tatu,Beira-Mar,27,9,0,0,203,9,0,3,0,0,28,17.0
329,1011,Saviola,SL Benfica,24,9,1,0,207,9,0,0,1,0,15,17.0
330,1011,Mario Rondón,Paços Ferreira,27,9,0,0,223,7,2,0,2,0,26,17.0
331,1011,Cláudio Pitbull,V. Setúbal,26,9,2,0,248,9,0,1,1,0,31,17.0
332,1011,Miguel Fidalgo,Académica,23,8,0,0,176,7,1,0,0,0,25,17.0
333,1011,Kléber,Marítimo,18,7,1,0,191,6,1,2,0,0,21,17.0
334,1011,Nico Gaitán,SL Benfica,26,7,0,0,281,7,0,0,0,0,11,17.0
335,1011,Pizzi,Paços Ferreira,27,7,0,0,287,6,1,2,1,0,20,17.0
336,1011,Franco Jara,SL Benfica,26,6,0,0,171,3,3,0,0,0,10,17.0
337,1011,Yannick Djaló,Sporting CP,21,6,0,0,237,6,0,0,2,0,15,17.0
338,1011,Lima,SC Braga,28,6,0,0,326,6,0,0,0,0,13,17.0
339,1011,Hélder Postiga,Sporting CP,25,6,1,0,334,6,0,0,0,0,15,17.0
340,1112,Óscar Cardozo,SL Benfica,29,20,5,0,124,20,0,0,4,1,30,18.0
341,1112,Lima,SC Braga,30,20,5,0,127,20,0,1,1,0,34,18.0
342,1112,Hulk,FC Porto,26,16,7,0,129,16,0,1,5,1,23,18.0
343,1112,van Wolfswinkel,Sporting CP,25,14,5,0,139,12,2,0,5,1,30,18.0
344,1112,James Rodríguez,FC Porto,26,13,1,0,143,10,3,0,1,0,19,18.0
345,1112,Nolito,SL Benfica,29,11,0,0,147,10,1,0,0,0,17,18.0
346,1112,João Tomás,Rio Ave,27,11,4,0,195,11,0,1,1,0,33,18.0
347,1112,Edgar Silva,V. Guimarães,28,11,3,0,199,11,0,0,3,0,28,18.0
348,1112,Babá,Marítimo,15,10,0,0,120,9,1,1,4,1,24,18.0
349,1112,Bruno César,SL Benfica,26,10,0,0,165,8,2,0,3,1,15,18.0
350,1112,Claudemir,Nacional,25,10,7,0,224,10,0,2,0,0,21,18.0
351,1112,Mario Rondón,Nacional,29,10,0,0,224,9,1,0,0,0,21,18.0
352,1112,Lorenzo Melgarejo,Paços Ferreira,29,10,0,1,228,9,1,1,1,1,29,18.0
353,1112,Kléber,FC Porto,21,9,0,0,116,6,3,0,0,0,13,18.0
354,1112,Rodrigo,SL Benfica,22,9,0,0,126,7,2,0,1,0,14,18.0
355,1112,Mateus,Nacional,24,9,1,0,220,9,0,0,2,0,19,18.0
356,1112,Michel,Paços Ferreira,28,9,2,0,221,8,1,0,0,0,26,18.0
357,1112,Bédi Buval,Feirense,20,8,0,0,225,8,0,0,2,0,30,18.0
358,1112,Yazalde,Rio Ave,26,8,0,0,244,8,0,1,0,0,24,18.0
359,1112,Danilo Dias,Marítimo,30,8,0,0,283,8,0,1,1,0,20,18.0
360,1213,Jackson Martínez,FC Porto,30,26,4,0,103,26,0,2,4,2,37,19.0
361,1213,Lima,"Benfica, SC Braga",29,20,3,0,115,18,2,1,4,1,26,19.0
362,1213,Óscar Cardozo,SL Benfica,25,17,8,0,102,17,0,1,2,0,22,19.0
363,1213,van Wolfswinkel,Sporting CP,30,14,0,0,193,14,0,3,3,1,39,19.0
364,1213,Meyong,V. Setúbal,16,13,5,0,110,13,0,1,2,0,43,19.0
365,1213,Éder,SC Braga,18,13,0,0,113,13,0,0,2,0,22,19.0
366,1213,Edinho,Académica,27,13,2,0,132,8,5,3,1,1,39,19.0
367,1213,Nabil Ghilas,Moreirense,30,13,0,0,200,13,0,0,0,0,43,19.0
368,1213,Steven Vitória,Estoril,27,11,8,0,220,11,0,1,1,1,23,19.0
369,1213,James Rodríguez,FC Porto,24,10,1,0,175,9,1,0,0,0,14,19.0
370,1213,Luís Leal,Estoril,30,10,0,0,225,9,1,0,1,0,21,19.0
371,1213,Eduardo Salvio,SL Benfica,29,10,0,0,246,10,0,0,0,0,13,19.0
372,1213,El Arbi Soudani,V. Guimarães,21,9,0,0,191,9,0,0,3,1,25,19.0
373,1213,Amido Baldé,V. Guimarães,27,9,0,0,199,9,0,2,1,0,25,19.0
374,1213,Cícero,Paços Ferreira,29,9,0,0,274,9,0,1,2,0,21,19.0
375,1213,Hugo Vieira,Gil Vicente,14,8,0,0,139,8,0,0,0,0,26,19.0
376,1213,Ahmed Hassan,Rio Ave,17,8,3,0,143,7,1,2,1,0,23,19.0
377,1213,Manuel José,Paços Ferreira,29,8,2,0,189,6,2,1,2,0,19,19.0
378,1213,Mateus,Nacional,25,8,0,0,202,4,4,2,2,1,18,19.0
379,1213,Paolo Hurtado,Paços Ferreira,28,8,0,0,235,8,0,0,2,0,19,19.0
380,1314,Jackson Martínez,FC Porto,30,20,3,0,130,20,0,0,3,0,35,20.0
381,1314,Derley,Marítimo,30,16,4,0,167,16,0,1,4,0,40,20.0
382,1314,Rafael Martins,V. Setúbal,28,15,3,0,144,14,1,1,1,0,37,20.0
383,1314,Lima,SL Benfica,28,14,3,0,168,14,0,1,3,1,24,20.0
384,1314,Fredy Montero,Sporting CP,29,13,2,0,156,13,0,0,1,0,24,20.0
385,1314,Mario Rondón,Nacional,30,12,0,0,186,11,1,1,3,0,28,20.0
386,1314,Rodrigo Moreno,SL Benfica,26,11,0,0,164,10,1,0,1,0,19,20.0
387,1314,Bebé,Paços Ferreira,27,11,1,0,192,11,0,1,0,0,39,20.0
388,1314,Evandro,Estoril,28,11,6,0,218,11,0,1,2,0,26,20.0
389,1314,Héldon,"Marítimo, Sporting",26,10,3,0,177,9,1,0,1,0,23,20.0
390,1314,Islam Slimani,Sporting CP,26,8,0,0,139,4,4,0,4,2,15,20.0
391,1314,João Pedro Galvão,Estoril,25,8,0,0,162,7,1,1,2,0,19,20.0
392,1314,Federico Dionisi,Olhanense,24,8,2,0,256,7,1,1,3,2,38,20.0
393,1314,Adrien Silva,Sporting CP,28,8,7,0,307,8,0,0,2,1,15,20.0
394,1314,Óscar Cardozo,SL Benfica,15,7,2,0,97,4,3,0,1,0,12,20.0
395,1314,Djaniny,Nacional,29,7,0,0,274,6,1,0,0,0,16,20.0
396,1314,Felipe Pardo,SC Braga,30,7,0,0,289,5,2,1,0,0,18,20.0
397,1314,Ricardo Horta,V. Setúbal,28,7,2,0,294,7,0,1,1,0,17,20.0
398,1314,Diego Barcellos,Nacional,25,6,0,0,250,5,1,2,1,0,14,20.0
399,1314,Ramón Cardozo,V. Setúbal,20,6,0,0,265,6,0,0,1,0,15,20.0
400,1415,Jackson Martínez,FC Porto,30,21,1,0,122,21,0,0,2,0,28,21.0
401,1415,Jonas,SL Benfica,27,20,1,0,111,19,1,0,2,1,23,21.0
402,1415,Lima,SL Benfica,34,19,3,0,147,18,1,0,2,0,22,21.0
403,1415,Marco Matias,Nacional,33,17,3,0,165,16,1,2,4,0,38,21.0
404,1415,Islam Slimani,Sporting CP,21,12,0,0,127,10,2,1,1,0,18,21.0
405,1415,Ahmed Hassan,Rio Ave,22,12,1,0,131,11,1,1,2,0,32,21.0
406,1415,Fredy Montero,Sporting CP,26,11,0,0,145,9,2,2,1,0,16,21.0
407,1415,André André,V. Guimarães,31,11,8,0,251,11,0,2,0,0,22,21.0
408,1415,Éder,SC Braga,29,10,2,0,173,9,1,1,1,0,18,21.0
409,1415,Bruno Moreira,Paços Ferreira,28,10,0,0,211,10,0,0,1,0,25,21.0
410,1415,Moussa Maazou,Marítimo,18,9,1,0,141,7,2,0,1,1,20,21.0
411,1415,Anderson Talisca,SL Benfica,32,9,0,0,208,9,0,0,1,0,10,21.0
412,1415,Simy Nwankwo,Gil Vicente,30,9,0,0,236,7,2,0,3,2,36,21.0
413,1415,Eduardo Salvio,SL Benfica,29,9,0,0,273,9,0,0,0,0,10,21.0
414,1415,Ricardo Valente,V. Guimarães,16,8,0,0,145,8,0,0,2,0,16,21.0
415,1415,Zé Luís,SC Braga,20,8,2,0,155,6,2,1,1,0,15,21.0
416,1415,Deyverson,Belenenses,16,8,0,0,172,8,0,1,1,0,24,21.0
417,1415,Kléber,Estoril,21,8,1,0,197,7,1,1,2,1,21,21.0
418,1415,Guedes,Penafiel,31,8,5,0,214,6,2,0,1,0,28,21.0
419,1415,Adrien Silva,Sporting CP,30,8,4,0,284,8,0,0,1,0,12,21.0
420,1516,Jonas,SL Benfica,34,32,7,0,89,32,0,0,3,1,36,22.0
421,1516,Islam Slimani,Sporting CP,33,27,2,0,107,27,0,0,5,1,34,22.0
422,1516,Kostas Mitroglou,SL Benfica,32,20,0,0,111,18,2,0,1,0,23,22.0
423,1516,Leo Bonatini,Estoril,33,17,4,0,169,17,0,3,3,0,43,22.0
424,1516,Rafael Martins,Moreirense,27,16,4,1,143,16,0,1,3,0,42,22.0
425,1516,Bruno Moreira,Paços Ferreira,29,14,4,1,166,14,0,0,1,0,33,22.0
426,1516,Vincent Aboubakar,FC Porto,28,13,0,0,161,12,1,0,1,1,19,22.0
427,1516,Nathan Júnior,Tondela,34,13,5,0,221,13,0,1,1,0,38,22.0
428,1516,Dyego Sousa,Marítimo,28,12,0,0,153,9,3,1,1,0,27,22.0
429,1516,Henrique Dourado,V. Guimarães,28,12,2,0,178,12,0,1,0,0,27,22.0
430,1516,Diogo Jota,Paços Ferreira,31,12,0,0,230,12,0,0,4,1,28,22.0
431,1516,André Claro,V. Setúbal,34,12,2,0,233,12,0,1,1,0,30,22.0
432,1516,Teo Gutiérrez,Sporting CP,23,11,1,0,146,11,0,0,1,0,14,22.0
433,1516,Ahmed Hassan,"SC Braga, Rio Ave",25,11,0,0,156,10,1,0,1,0,19,22.0
434,1516,Suk Hyun-jun,"FC Porto, V. Setúbal",25,10,0,0,178,10,0,0,0,0,23,22.0
435,1516,Nikola Stojiljkovic,SC Braga,31,10,0,0,204,10,0,0,2,0,19,22.0
436,1516,Tiquinho Soares,Nacional,30,10,0,0,245,10,0,0,3,1,25,22.0
437,1516,Héctor Herrera,FC Porto,29,9,1,0,259,9,0,1,0,0,13,22.0
438,1516,Salvador Agra,Nacional,34,9,1,0,292,8,1,0,1,0,23,22.0
439,1516,Rafa Silva,SC Braga,30,8,0,0,247,8,0,0,1,0,15,22.0
440,1617,Bas Dost,Sporting CP,31,34,7,0,80,33,1,0,6,1,50,23.0
441,1617,Soares,"FC Porto, V. Guimarães",31,19,2,0,142,19,0,2,3,1,17,23.0
442,1617,Kostas Mitroglou,SL Benfica,28,16,0,0,140,15,1,0,2,0,22,23.0
443,1617,André Silva,FC Porto,32,16,5,0,154,15,1,0,1,0,23,23.0
444,1617,Jonas,SL Benfica,19,13,5,0,102,13,0,0,1,0,18,23.0
445,1617,Moussa Marega,V. Guimarães,25,13,2,0,156,13,0,1,3,0,26,23.0
446,1617,Rui Fonte,SC Braga,26,11,0,0,201,9,2,0,1,0,22,23.0
447,1617,Welthon,Paços Ferreira,28,11,0,0,223,11,0,0,2,0,34,23.0
448,1617,Pizzi,SL Benfica,33,10,0,0,285,10,0,0,1,0,14,23.0
449,1617,Diogo Jota,FC Porto,27,8,0,0,182,4,4,0,0,0,11,23.0
450,1617,Edinho,V. Setúbal,26,8,1,0,212,8,0,0,1,0,27,23.0
451,1617,Hernâni,V. Guimarães,27,8,0,0,224,6,2,0,1,0,16,23.0
452,1617,Kléber,Estoril,26,8,3,0,226,7,1,1,1,0,22,23.0
453,1617,Guedes,Rio Ave,31,8,0,0,241,8,0,1,1,0,20,23.0
454,1617,Raúl Jiménez,SL Benfica,19,7,2,0,110,6,1,1,2,0,10,23.0
455,1617,Emmanuel Boateng,Moreirense,26,7,0,0,233,5,2,1,1,0,21,23.0
456,1617,Iuri Medeiros,Boavista,27,7,0,0,328,7,0,0,3,1,21,23.0
457,1617,Raul Silva,Marítimo,29,7,0,0,371,7,0,1,1,0,21,23.0
458,1617,Maurides,Belenenses,12,6,1,0,155,6,0,0,1,1,22,23.0
459,1617,Kuca,Arouca,24,6,1,0,173,4,2,1,3,0,18,23.0
460,1718,Jonas,SL Benfica,30,34,8,0,73,34,0,3,3,0,43,24.0
461,1718,Bas Dost,Sporting CP,30,27,5,0,96,25,2,0,7,0,43,24.0
462,1718,Moussa Marega,FC Porto,29,22,0,0,110,20,2,0,2,0,27,24.0
463,1718,Vincent Aboubakar,FC Porto,28,15,1,0,135,15,0,0,2,0,18,24.0
464,1718,Fabrício Messias,Portimonense,29,15,3,0,161,14,1,1,0,0,29,24.0
465,1718,Raphinha,V. Guimarães,32,15,2,0,186,15,0,1,1,0,33,24.0
466,1718,Paulinho,SC Braga,30,13,1,0,163,10,3,0,1,0,18,24.0
467,1718,Paolo Hurtado,V. Guimarães,25,11,4,0,160,10,1,0,2,0,24,24.0
468,1718,Ricardo Horta,SC Braga,30,11,0,0,187,10,1,0,1,0,15,24.0
469,1718,William Oliveira,Desp. Chaves,28,11,0,0,206,10,1,2,0,0,23,24.0
470,1718,Bruno Fernandes,Sporting CP,33,11,2,0,255,11,0,1,2,1,17,24.0
471,1718,Shoya Nakajima,Portimonense,29,10,0,0,250,10,0,1,2,0,19,24.0
472,1718,Guedes,Rio Ave,32,10,0,0,258,10,0,0,0,0,25,24.0
473,1718,Joel Tagueu,Marítimo,15,9,0,0,129,9,0,2,1,1,25,24.0
474,1718,Edinho,V. Setúbal,33,9,4,0,177,7,2,1,1,0,23,24.0
475,1718,Toto Salvio,SL Benfica,26,9,0,0,179,7,2,0,1,0,11,24.0
476,1718,João Amaral,V. Setúbal,33,9,0,0,251,9,0,0,0,0,23,24.0
477,1718,Tomané,Tondela,32,9,1,0,299,9,0,2,0,0,22,24.0
478,1718,Pedro Tiba,Desp. Chaves,31,9,5,0,300,9,0,1,3,1,19,24.0
479,1718,Yacine Brahimi,FC Porto,33,9,0,0,307,9,0,0,1,0,11,24.0
480,1819,Haris Seferovic,SL Benfica,29,23,0,0,86,19,4,0,3,0,22,25.0
481,1819,Bruno Fernandes,Sporting CP,33,20,6,0,147,20,0,0,1,1,28,25.0
482,1819,Rafa Silva,SL Benfica,26,17,0,0,113,16,1,0,1,1,17,25.0
483,1819,Bas Dost,Sporting CP,22,15,8,0,106,14,1,1,1,0,21,25.0
484,1819,João Félix,SL Benfica,26,15,0,0,116,14,1,1,0,0,15,25.0
485,1819,Soares,FC Porto,28,15,3,0,137,14,1,0,3,1,20,25.0
486,1819,Dyego Sousa,SC Braga,33,15,2,0,161,15,0,1,3,0,27,25.0
487,1819,Pizzi,SL Benfica,34,13,5,0,215,13,0,0,1,0,13,25.0
488,1819,Wilson Eduardo,SC Braga,32,12,5,0,179,12,0,0,2,1,21,25.0
489,1819,Tomané,Tondela,31,12,4,0,226,12,0,1,0,0,30,25.0
490,1819,Jonas,SL Benfica,22,11,1,0,93,7,4,0,2,0,11,25.0
491,1819,Moussa Marega,FC Porto,29,11,1,0,227,11,0,0,3,2,15,25.0
492,1819,Licá,Belenenses,34,11,0,0,258,11,0,0,2,0,26,25.0
493,1819,Bryan Róchez,Nacional,30,10,4,0,176,6,4,0,1,0,30,25.0
494,1819,Yacine Brahimi,FC Porto,32,10,0,0,233,9,1,0,0,0,14,25.0
495,1819,Bruno Moreira,Rio Ave,29,9,0,0,189,8,1,1,1,0,18,25.0
496,1819,Jhonder Cádiz,V. Setúbal,31,9,2,0,248,8,1,1,3,0,32,25.0
497,1819,Jackson Martínez,Portimonense,27,9,1,0,248,9,0,1,1,1,20,25.0
498,1819,Tozé,V. Guimarães,31,9,5,0,289,8,1,0,3,0,20,25.0
499,1819,Luiz Phellype,Sporting CP,14,8,0,0,105,8,0,0,1,0,11,25.0
500,1920,Carlos Vinícius,SL Benfica,32,18,0,0,99,12,6,0,3,0,25,26.0
501,1920,Mehdi Taremi,Rio Ave,30,18,7,0,131,17,1,3,4,1,38,26.0
502,1920,Pizzi,SL Benfica,34,18,5,0,157,18,0,2,1,1,25,26.0
503,1920,Paulinho,SC Braga,29,17,2,0,135,17,0,1,4,1,28,26.0
504,1920,Fábio Abreu,Moreirense,33,13,0,0,184,12,1,2,1,0,31,26.0
505,1920,Moussa Marega,FC Porto,29,12,0,0,193,12,0,0,2,0,16,26.0
506,1920,Fábio Martins,Famalicão,29,12,6,0,206,12,0,1,1,0,23,26.0
507,1920,Ricardo Horta,SC Braga,33,12,0,0,220,12,0,0,0,0,20,26.0
508,1920,Douglas Tanque,Paços Ferreira,29,11,1,0,176,8,3,0,1,0,31,26.0
509,1920,Alex Telles,FC Porto,31,11,8,0,230,11,0,1,2,0,15,26.0
510,1920,Tiquinho Soares,FC Porto,30,10,0,0,169,8,2,0,1,0,14,26.0
511,1920,Toni Martínez,Famalicão,32,10,0,0,219,8,2,2,1,0,19,26.0
512,1920,Sandro Lima,Gil Vicente,32,10,3,0,254,8,2,2,2,0,25,26.0
513,1920,Rodrigo Pinho,Marítimo,27,9,1,0,178,6,3,0,2,1,26,26.0
514,1920,João Carlos Teixeira,V. Guimarães,21,8,0,0,166,6,2,1,1,1,15,26.0
515,1920,Bruno Fernandes,Sporting CP,17,8,4,0,191,8,0,1,2,0,16,26.0
516,1920,Francisco Trincão,SC Braga,27,8,0,0,197,6,2,0,1,0,13,26.0
517,1920,Bruno Duarte,V. Guimarães,24,8,0,0,199,7,1,0,1,0,15,26.0
518,1920,Bozhidar Kraev,Gil Vicente,32,8,0,0,283,7,1,0,2,1,20,26.0
519,1920,Mehrdad Mohammadi,Desp. Aves,28,8,3,0,291,8,0,0,2,0,33,26.0
520,2021,Haris Seferovic,SL Benfica,27,18,0,0,106,13,5,0,1,0,31,27.0
521,2021,Pedro Gonçalves,Sporting CP,28,17,0,0,140,17,0,0,4,1,31,27.0
522,2021,Mario González,Tondela,23,13,0,0,141,13,0,0,4,0,41,27.0
523,2021,Mehdi Taremi,FC Porto,30,13,2,0,150,11,2,1,2,0,21,27.0
524,2021,Sérgio Oliveira,FC Porto,29,12,7,0,183,12,0,1,0,0,20,27.0
525,2021,Beto,Portimonense,26,11,0,0,147,10,1,0,2,0,33,27.0
526,2021,Carlos Júnior,Santa Clara,28,10,2,1,242,10,0,2,1,1,27,27.0
527,2021,Rodrigo Pinho,Marítimo,18,9,1,0,138,9,0,0,2,1,36,27.0
528,2021,Óscar Estupiñán,V. Guimarães,19,8,0,0,198,8,0,1,1,0,24,27.0
529,2021,Joel Tagueu,Marítimo,29,8,1,0,250,7,1,0,3,0,32,27.0
530,2021,Ricardo Horta,SC Braga,28,8,2,0,276,8,0,0,1,1,16,27.0
531,2021,Ryan Gauld,Farense,29,8,4,0,321,8,0,1,1,0,30,27.0
532,2021,Thiago Santana,Santa Clara,9,7,1,0,109,7,0,0,2,0,19,27.0
533,2021,Anderson Oliveira,Famalicão,20,7,0,0,142,6,1,1,0,0,21,27.0
534,2021,Luca Waldschmidt,SL Benfica,25,7,1,0,189,5,2,0,2,1,12,27.0
535,2021,Mateo Cassierra,Belenenses,28,7,0,0,232,7,0,2,0,0,33,27.0
536,2021,Samuel Lino,Gil Vicente,29,7,2,0,252,4,3,0,1,0,25,27.0
537,2021,Moussa Marega,FC Porto,29,7,0,0,278,7,0,1,1,0,11,27.0
538,2021,Alberth Elis,Boavista,27,7,0,0,313,7,0,0,0,0,20,27.0
539,2021,Douglas Tanque,Paços Ferreira,27,7,2,0,321,7,0,0,3,0,20,27.0
