Unnamed: 0,Team,Points,G/J,GS/J,A/J,V/J,MediaPasses,MediaPassesCertos,MediaPosseBola,PontBaliza/J,Lanca/J,RematDef/J,Remates/J,Cantos/J,TackleWon/J,Alivios/J,RematesFora/J,Defesa/J,RemateBaliza/J,ForaJogo/J
18,FC Porto,82,2.2,0.6,2.6,0.1,480.4,400.9,59.9,6.3,24.3,3.5,14.6,6.1,9.7,13.1,5.5,1.6,5.6,1.7
19,SL Benfica,77,2.1,0.8,2.1,0.1,512.0,426.4,58.2,6.6,23.9,3.6,15.2,6.9,11.7,13.5,6.1,2.4,5.5,2.7
20,SC Braga,60,1.8,1.2,2.7,0.2,482.8,394.5,58.4,6.9,26.2,2.9,14.8,6.1,10.4,13.1,6.5,2.4,5.4,1.9
21,Sporting CP,60,1.4,1.0,2.7,0.1,487.6,411.7,58.9,7.9,20.9,3.6,13.7,6.0,11.6,14.6,6.1,2.5,4.0,2.3
22,Rio Ave,55,1.4,1.1,2.1,0.2,478.4,389.9,55.2,8.9,22.4,2.5,10.6,4.8,10.5,18.5,4.5,2.7,3.6,2.6
23,Famalicão,54,1.6,1.5,2.9,0.3,420.0,337.3,52.9,8.7,24.1,2.8,13.1,5.1,11.6,18.9,5.5,2.6,4.8,1.1
24,V. Guimarães,50,1.6,1.1,2.0,0.1,388.9,311.9,50.5,6.6,26.3,3.5,15.3,7.4,10.9,14.8,7.1,2.1,4.7,2.1
25,Moreirense,43,1.2,1.3,2.4,0.1,333.1,248.2,44.1,10.2,24.3,2.5,10.1,3.9,9.7,22.7,4.2,3.3,3.5,0.9
26,Gil Vicente,43,1.2,1.3,2.2,0.1,361.3,276.0,47.5,8.2,24.4,2.3,10.4,4.7,10.9,16.6,3.8,2.3,4.2,2.0
27,Santa Clara,43,1.1,1.2,2.2,0.1,338.2,249.9,46.1,9.6,24.5,2.3,11.0,5.5,10.3,21.5,5.2,3.1,3.5,2.5
28,Marítimo,39,1.0,1.2,2.9,0.2,364.3,280.8,47.2,9.8,23.4,2.1,10.6,4.1,10.6,21.0,5.1,2.8,3.4,2.1
29,Boavista,39,0.8,1.1,3.3,0.2,314.4,229.1,42.6,9.1,23.6,3.1,11.8,4.5,11.1,22.7,5.1,3.0,3.6,2.0
30,Paços de Ferreira,39,1.1,1.5,3.3,0.2,338.4,252.9,47.1,8.4,23.8,3.1,12.1,5.2,10.6,17.7,5.7,2.4,3.4,1.8
31,Tondela,36,0.9,1.3,2.4,0.1,362.6,271.9,45.6,9.8,23.7,2.0,9.5,4.6,8.6,19.7,4.4,2.9,3.1,1.6
32,Belenenses,35,0.8,1.6,2.8,0.1,380.9,292.4,49.2,9.3,23.1,1.9,9.1,4.4,9.5,20.6,4.7,3.2,2.5,2.6
33,V. Setúbal,34,0.8,1.3,2.9,0.2,340.3,258.9,45.4,10.2,22.9,2.2,9.1,4.0,9.9,21.8,4.1,3.1,2.9,1.9
34,Portimonense,33,0.9,1.3,2.4,0.1,404.2,313.0,51.2,9.4,25.0,3.1,11.7,4.5,9.9,17.1,5.1,2.4,3.5,1.7
35,Desp. Aves,17,0.7,2.0,2.8,0.2,286.5,197.7,40.8,9.9,25.3,2.3,9.5,4.6,10.2,22.0,4.6,2.9,2.6,1.7
