,Season,Equipa,J,A,2A,VE
10,9900,Gil Vicente,34.0,89.0,3.0,2.0
11,9900,Santa Clara,34.0,88.0,1.0,3.0
12,9900,Belenenses,34.0,82.0,2.0,2.0
13,9900,Farense,34.0,80.0,7.0,1.0
14,9900,FC Porto,34.0,77.0,2.0,3.0
15,9900,Rio Ave,34.0,74.0,3.0,1.0
16,9900,Sporting,34.0,69.0,2.0,1.0
17,9900,V. Guimarães,34.0,52.0,1.0,0.0
0,0001,Campomaiorense,34.0,128.0,8.0,1.0
1,0001,Belenenses,34.0,119.0,8.0,2.0
2,0001,Paços de Ferreira,34.0,109.0,5.0,1.0
3,0001,Gil Vicente,34.0,106.0,8.0,2.0
4,0001,SC Braga,34.0,105.0,2.0,1.0
5,0001,Est. Amadora,34.0,104.0,5.0,1.0
6,0001,UD Leiria,34.0,101.0,2.0,5.0
7,0001,FC Alverca,34.0,101.0,3.0,1.0
8,0001,Beira-Mar,34.0,98.0,6.0,2.0
9,0001,CD Aves,34.0,98.0,2.0,3.0
10,0001,Benfica,34.0,97.0,5.0,6.0
11,0001,Boavista,34.0,88.0,1.0,3.0
12,0001,Marítimo,34.0,86.0,3.0,2.0
13,0001,V. Guimarães,34.0,84.0,7.0,4.0
14,0001,SC Salgueiros,34.0,84.0,3.0,3.0
15,0001,FC Porto,34.0,79.0,1.0,0.0
16,0001,Sporting,34.0,73.0,1.0,1.0
17,0001,Farense,34.0,67.0,3.0,0.0
0,0102,FC Alverca,34.0,111.0,4.0,2.0
1,0102,Paços de Ferreira,34.0,106.0,7.0,5.0
2,0102,SC Braga,34.0,105.0,4.0,5.0
3,0102,Beira-Mar,34.0,104.0,3.0,4.0
4,0102,UD Leiria,34.0,101.0,2.0,4.0
5,0102,Farense,34.0,100.0,5.0,5.0
6,0102,V. Setúbal,34.0,99.0,5.0,4.0
7,0102,FC Porto,34.0,96.0,5.0,2.0
8,0102,Boavista,34.0,96.0,6.0,3.0
9,0102,Gil Vicente,34.0,95.0,7.0,2.0
10,0102,Sporting,34.0,95.0,6.0,4.0
11,0102,Belenenses,34.0,93.0,2.0,2.0
12,0102,Marítimo,34.0,90.0,6.0,5.0
13,0102,SC Salgueiros,34.0,89.0,1.0,3.0
14,0102,Benfica,34.0,79.0,4.0,6.0
15,0102,V. Guimarães,34.0,79.0,2.0,2.0
16,0102,Santa Clara,34.0,68.0,2.0,3.0
17,0102,Varzim,34.0,66.0,5.0,1.0
0,0203,SC Braga,34.0,104.0,1.0,2.0
1,0203,Moreirense,34.0,101.0,6.0,1.0
2,0203,Boavista,34.0,99.0,6.0,2.0
3,0203,V. Guimarães,34.0,99.0,2.0,5.0
4,0203,V. Setúbal,34.0,96.0,2.0,1.0
5,0203,Paços de Ferreira,34.0,96.0,2.0,4.0
6,0203,Belenenses,34.0,96.0,4.0,3.0
7,0203,Gil Vicente,34.0,93.0,4.0,3.0
8,0203,FC Porto,34.0,90.0,1.0,5.0
9,0203,UD Leiria,34.0,90.0,5.0,1.0
10,0203,Beira-Mar,34.0,90.0,3.0,3.0
11,0203,Benfica,34.0,89.0,6.0,4.0
12,0203,Marítimo,34.0,87.0,5.0,3.0
13,0203,Santa Clara,34.0,85.0,2.0,3.0
14,0203,Académica OAF,34.0,84.0,3.0,3.0
15,0203,Varzim,34.0,78.0,4.0,3.0
16,0203,Sporting,34.0,78.0,3.0,4.0
17,0203,Nacional,34.0,73.0,2.0,6.0
0,0304,Boavista,34.0,107.0,1.0,5.0
1,0304,Rio Ave,34.0,105.0,3.0,4.0
2,0304,Gil Vicente,34.0,103.0,6.0,2.0
3,0304,FC Porto,34.0,100.0,1.0,2.0
4,0304,Sporting,34.0,99.0,5.0,0.0
5,0304,FC Alverca,34.0,97.0,3.0,5.0
6,0304,Nacional,34.0,95.0,2.0,4.0
7,0304,V. Guimarães,34.0,89.0,5.0,3.0
8,0304,Paços de Ferreira,34.0,87.0,3.0,5.0
9,0304,UD Leiria,34.0,85.0,6.0,2.0
10,0304,Belenenses,34.0,83.0,6.0,2.0
11,0304,SC Braga,34.0,83.0,2.0,7.0
12,0304,Moreirense,34.0,82.0,4.0,0.0
13,0304,Est. Amadora,34.0,80.0,3.0,4.0
14,0304,Benfica,34.0,79.0,3.0,2.0
15,0304,Beira-Mar,34.0,76.0,3.0,2.0
16,0304,Marítimo,34.0,73.0,2.0,6.0
17,0304,Académica OAF,34.0,66.0,1.0,2.0
0,0405,V. Guimarães,34.0,118.0,5.0,2.0
1,0405,Estoril Praia,34.0,114.0,5.0,4.0
2,0405,Gil Vicente,34.0,114.0,3.0,1.0
3,0405,FC Porto,34.0,111.0,2.0,7.0
4,0405,Boavista,34.0,103.0,3.0,6.0
5,0405,Nacional,34.0,102.0,4.0,4.0
6,0405,Beira-Mar,34.0,100.0,4.0,2.0
7,0405,Académica OAF,34.0,99.0,6.0,1.0
8,0405,UD Leiria,34.0,97.0,4.0,4.0
9,0405,FC Penafiel,34.0,96.0,4.0,5.0
10,0405,Rio Ave,34.0,93.0,2.0,1.0
11,0405,Belenenses,34.0,88.0,5.0,1.0
12,0405,Moreirense,34.0,86.0,3.0,1.0
13,0405,Sporting,34.0,86.0,5.0,5.0
14,0405,SC Braga,34.0,84.0,4.0,2.0
15,0405,Marítimo,34.0,81.0,6.0,3.0
16,0405,Benfica,34.0,77.0,1.0,3.0
