,Season,Jogador,J,G,ASS,INF,PINF
2,0809,Mariano González [FC Porto],24.0,4.0,7.0,11.0,18.0
3,0809,José Antonio Reyes [Benfica],24.0,4.0,6.0,10.0,19.0
4,0809,Raul Meireles [FC Porto],28.0,4.0,6.0,10.0,16.0
5,0809,Lisandro López [FC Porto],28.0,10.0,6.0,16.0,26.0
6,0809,João Moutinho [Sporting],27.0,3.0,6.0,9.0,20.0
7,0809,Modou Sougou [Académica OAF],23.0,4.0,5.0,9.0,32.0
8,0809,Hugo Leal [Trofense],21.0,3.0,5.0,8.0,32.0
9,0809,Hulk [FC Porto],25.0,8.0,5.0,13.0,21.0
10,0809,Luis Aguiar [SC Braga],28.0,4.0,5.0,9.0,24.0
11,0809,Rúben Micael [Nacional],26.0,4.0,5.0,9.0,19.0
12,0809,Mateus [Nacional],28.0,5.0,5.0,10.0,21.0
13,0809,Liedson [Sporting],26.0,17.0,5.0,22.0,49.0
14,0809,Marcinho [Marítimo],29.0,6.0,5.0,11.0,31.0
15,0809,Bruno Pereirinha [Sporting],25.0,1.0,4.0,5.0,11.0
16,0809,Miguel Pedro [Académica OAF],25.0,0.0,4.0,4.0,14.0
17,0809,Djalma Campos [Marítimo],26.0,6.0,4.0,10.0,29.0
18,0809,Derlei [Sporting],23.0,7.0,4.0,11.0,24.0
19,0809,Pablo Aimar [Benfica],22.0,1.0,4.0,5.0,9.0
0,0910,Ángel Di María [Benfica],26.0,5.0,11.0,16.0,21.0
1,0910,Fernando Belluschi [FC Porto],27.0,3.0,10.0,13.0,19.0
2,0910,Fábio Coentrão [Benfica],26.0,0.0,8.0,8.0,10.0
3,0910,Hulk [FC Porto],19.0,5.0,7.0,12.0,17.0
4,0910,Pablo Aimar [Benfica],25.0,4.0,7.0,11.0,14.0
5,0910,Marcinho [Marítimo],13.0,1.0,6.0,7.0,17.0
6,0910,Djalma Campos [Marítimo],28.0,6.0,6.0,12.0,29.0
7,0910,Hélder Barbosa [V. Setúbal],26.0,2.0,6.0,8.0,28.0
8,0910,Radamel Falcao [FC Porto],28.0,25.0,6.0,31.0,44.0
9,0910,Ukra [Olhanense],28.0,1.0,6.0,7.0,23.0
10,0910,Liedson [Sporting],28.0,13.0,6.0,19.0,45.0
11,0910,Fredy Guarín [FC Porto],19.0,4.0,5.0,9.0,13.0
12,0910,Hugo Viana [SC Braga],28.0,4.0,5.0,9.0,19.0
13,0910,Javier Saviola [Benfica],27.0,11.0,5.0,16.0,21.0
14,0910,"Rúben Micael [Nacional, FC Porto]",26.0,2.0,5.0,7.0,17.0
15,0910,Miguel Veloso [Sporting],25.0,3.0,5.0,8.0,19.0
16,0910,Emídio Rafael [Académica OAF],26.0,1.0,5.0,6.0,16.0
17,0910,Óscar Cardozo [Benfica],29.0,26.0,5.0,31.0,40.0
